"Variety","Length","bract_count"
"bihai",47.12,15
"bihai",46.75,NA
"bihai",46.81,NA
"bihai",47.12,NA
"bihai",46.67,8
"bihai",47.43,NA
"bihai",46.44,NA
"bihai",46.64,NA
"bihai",48.07,NA
"bihai",48.34,NA
"bihai",48.15,NA
"bihai",50.26,12
"bihai",50.12,NA
"bihai",46.34,NA
"bihai",46.94,NA
"bihai",48.36,NA
"red",41.9,NA
"red",42.01,NA
"red",41.93,10
"red",43.09,NA
"red",41.47,NA
"red",41.69,9
"red",39.78,10
"red",40.57,NA
"red",39.63,NA
"red",42.18,13
"red",40.66,NA
"red",37.87,15
"red",39.16,7
"red",37.4,NA
"red",38.2,7
"red",38.07,NA
"red",38.1,NA
"red",37.97,NA
"red",38.79,NA
"red",38.23,NA
"red",38.87,11
"red",37.78,NA
"red",38.01,NA
"yellow",36.78,NA
"yellow",37.02,NA
"yellow",36.52,11
"yellow",36.11,NA
"yellow",36.03,NA
"yellow",35.45,NA
"yellow",38.13,NA
"yellow",37.1,NA
"yellow",35.17,NA
"yellow",36.82,NA
"yellow",36.66,NA
"yellow",35.68,NA
"yellow",36.03,NA
"yellow",34.57,NA
"yellow",34.63,NA
"yellow",NA,NA
"red",NA,NA
"red",NA,NA
